uid,Dtb_number,manufacturer,name,combustor_description,type,bp_ratio,pr,rated_thrust,Data_status,Data_superseded_on,Superseded_by_UID,Test_engine_status,Data_corr_as_Annex_16,Current_engine_status,Current_engine_status_date,hc_to,hc_co,hc_app,hc_idle,HC_number_tests,HC_number_engines,HC_avg,HC_sig,HC_min,HC_max,HC_characteristic,HC_characteristic_pct,HC_LTO_mass,co_to,co_co,co_app,co_idle,CO_number_tests,CO_number_engines,CO_avg,CO_sig,CO_min,CO_max,CO_characteristic,CO_characteristic_pct,CO_LTO_mass,nox_to,nox_co,nox_app,nox_idle,NOx_number_tests,NOx_number_engines,NOx_avg,NOx_sig,NOx_min,NOx_max,NOx_characteristic,NOx_characteristic_pct_original,NOx_characteristic_pct_CAEP2,NOx_characteristic_pct_CAEP4,NOx_characteristic_pct_CAEP6,NOx_characteristic_pct_CAEP8,NOx_compliance,NOx_LTO_mass,sn_to,sn_co,sn_app,sn_idle,SN_number_tests,SN_number_engines,sn_max,SN_sig,SN_range_min,SN_range_max,SN_characteristic,SN_characteristic_pct,Fuel_spec,Fuel_HC_ratio_min,Fuel_HC_ratio_max,Fuel_arom_min,Fuel_arom_max,fuel_to,fuel_co,fuel_app,fuel_idle,Fuel_LTO_cycle,Load_extracted,Load_extraction_power,Load_stage_bleed_CF_pct,Load_stage_bleed_power,Ambient_pressure_min,Ambient_pressure_max,Ambient_temperature_min,Ambient_temperature_max,Ambient_humidity_min,Ambient_humidity_max,Test_organization,Test_location,Test_date_initial,Test_date_final,Compliance_fuel_venting,Remark_1,Remark_2,Remark_3,Remark_4,Remark_5,Remark_6,Remark_7,Remark_8,nvpm_to,nvpm_co,nvpm_app,nvpm_idle,nvpmnum_to,nvpmnum_co,nvpmnum_app,nvpmnum_idle,wikipedia_link
1PW028,1,Pratt & Whitney,"JT9D-7R4E4, -E1(H)",,TF,5,24.2,222.41,C,,,DTEPS,Yes,Out of production,,0.15,0.13,0.22,3.35,6,5,5.7,,,,6.4,32.7,1231,0.67,0.67,1.46,16,6,5,27.4,,,,29.1,24.7,5952,36.9,29.7,8.5,3.5,6,5,60.3,,,,63,71.3,89.1,109.2,124.1,150.2,,13117,4.3,,,,3,3,4.3,,,,4.7,24.9,Jet A,,,,,2.218,1.829,0.64,0.2205,832,0,,0,,,,271,299,,,P&WA,"East Hartford, CT",26/10/1981,10/04/1983,,,,,,,,,,,,,,,,,,
1PW029,1,Pratt & Whitney,JT9D-7R4G2,,TF,4.8,26.3,243.5,C,,,DTEPS,Yes,Out of production,,0.15,0.14,0.18,1.55,6,5,2.6,,,,2.9,14.9,620,0.74,0.63,1.4,11.82,6,5,19.5,,,,20.7,17.6,4582,41.3,29.5,8.8,3.8,6,5,60.5,,,,63.2,68.3,85.4,103.5,117.7,140.7,,14253,6.8,,,,3,3,6.8,,,,7.5,40.3,Jet A,,,,,2.429,1.88,0.659,0.2239,858,0,,0,,,,271,299,,,P&WA,"East Hartford, CT",26/10/1981,10/09/1983,,,,,,,,,,,,,,,,,,
1PW030,1,Pratt & Whitney,JT9D-7R4H1,,TF,4.8,26.7,249.1,C,,,DTEPS,Yes,Out of production,,0.15,0.14,0.18,1.48,6,5,2.7,,,,3,15.5,651,0.74,0.63,1.39,11.63,6,5,20.4,,,,21.7,18.4,4938,45.2,30,8.9,3.8,6,5,65.2,,,,68.2,73,91.2,110.4,125.5,150,,15683,7.6,,,,3,3,7.6,,,,8.4,45.4,Jet A,,,,,2.512,1.999,0.7227,0.2454,926,0,,0,,,,271,299,,,P&WA,"East Hartford, CT",26/10/1981,10/09/1983,,,,,,,,,,,,,,,,,,
16PW115,16,Pratt & Whitney Canada,PW814GA,TALON X,TF,5.66,33.87,68.63,C,Yes,19PW127,NME/DTEPS,Yes,,,0,0,0.02,0.05,6,4,0.1,0.07,0,0.2,0.1,0.5,6,0,0,1.76,13.88,6,4,23.1,1.53,20.8,24.7,24.7,20.9,1598,23.26,17.94,11.46,6.25,6,4,46.1,1.19,45,49.5,48.4,44.9,56.2,61.7,66.2,73.5,2.3.2 e),3168,0.3,0.2,0.2,0.2,6,4,0.3,0.11,0,0.5,0.3,1.1,Jet A-1,0.158,0.161,15.7,20.1,0.667,0.549,0.194,0.07,256.2,0,,0,,99.1,101.7,253,297,0.0005,0.0098,"PW800 Development Engineering, Production","Longueuil & Mirabel, Quebec, Canada",23/06/2014,13/03/2015,Yes,P&WC ER 7572 rev A,"Engines tested: 5738/01, GA0008/01, GA0009/01, GA0011/01","Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,,,
16PW116,16,Pratt & Whitney Canada,PW815GA,TALON X,TF,5.6,35,71.22,C,Yes,19PW128,NME/DTEPS,Yes,,,0,0,0.02,0.05,6,4,0.1,0.07,0,0.2,0.1,0.51,7,0,0,1.5,13.4,6,4,21.9,1.38,19.9,23.3,23.4,19.8,1557,24.88,18.89,11.47,6.41,6,4,48.1,1.11,47,51.7,50.5,45.91,57.39,63.05,67.88,75.37,2.3.2 e),3422,0.3,0.2,0.2,0.2,6,4,0.3,0.11,0,0.5,0.3,1.15,Jet A-1,0.158,0.161,15.7,20.1,0.699,0.573,0.201,0.071,264,0,,0,,99.1,101.7,253,297,0.0005,0.0098,"PW800 Development Engineering, Production","Longueuil & Mirabel, Quebec, Canada",23/06/2014,13/03/2015,Yes,P&WC ER 7572 rev A,"Engines tested: 5738/01, GA0008/01, GA0009/01, GA0011/01","Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,,,
19PW127,19,Pratt & Whitney Canada,PW814GA,TALON X,TF,5.66,33.87,68.63,C/R,Yes,01P22PW141,NME/DTEPS,Yes,,,0,0,0.02,0.05,6,4,0.1,0.07,0,0.2,0.1,0.51,6,0,0,1.76,13.88,6,4,23.1,1.53,20.8,24.7,24.7,20.93,1598,23.26,17.94,11.46,6.25,6,4,46.1,1.19,45,49.5,48.4,44.92,56.16,61.67,66.23,73.47,2.3.2 e),3168,0.3,0.2,0.2,0.2,6,4,0.3,0.11,0,0.5,0.3,1.14,Jet A-1,0.158,0.161,15.7,20.1,0.667,0.549,0.194,0.07,256.2,0,,0,,99.1,101.7,253,297,0.0005,0.0098,"PW800 Development Engineering, Production","Longueuil & Mirabel, Quebec, Canada",23/06/2014,13/03/2015,Yes,Data from Certification Repor P&WC ER 7572 rev A,"Engines tested: 5738/01, GA0008/01, GA0009/01, GA0011/01","Data extrapolation used for GA0008/01, GA0009/01, GA0011/01 due to cold ambient",Future revision to remove extrapolated data and include additional engine data,"Export Classification: P-ECCN 9E991, ECL NLR","Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,
19PW128,19,Pratt & Whitney Canada,PW815GA,TALON X,TF,5.6,35,71.22,C/R,Yes,01P22PW142,NME/DTEPS,Yes,,,0,0,0.02,0.05,6,4,0.1,0.07,0,0.2,0.1,0.51,7,0,0,1.5,13.4,6,4,21.9,1.38,19.9,23.3,23.4,19.8,1557,24.88,18.89,11.47,6.41,6,4,48.1,1.11,47,51.7,50.5,45.91,57.39,63.05,67.88,75.37,2.3.2 e),3422,0.3,0.2,0.2,0.2,6,4,0.3,0.11,0,0.5,0.3,1.15,Jet A-1,0.158,0.161,15.7,20.1,0.699,0.573,0.201,0.071,264,0,,0,,99.1,101.7,253,297,0.0005,0.0098,"PW800 Development Engineering, Production","Longueuil & Mirabel, Quebec, Canada",23/06/2014,13/03/2015,Yes,Data from Certification Repor P&WC ER 7572 rev A,"Engines tested: 5738/01, GA0008/01, GA0009/01, GA0011/01","Data extrapolation used for GA0008/01, GA0009/01, GA0011/01 due to cold ambient",Future revision to remove extrapolated data and include additional engine data,"Export Classification: P-ECCN 9E991, ECL NLR","Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,
01P22PW141,22,Pratt & Whitney Canada,PW814GA,TALON X,MTF,5.706679716,33.5596761,68.63158638,C/R,,,NME/DTEPS,Yes,,,0.045433809,0.042955697,0.027861998,0.070659146,9,5,0.194228882,0.154937825,0,0.3,0.15740949,0.803109641,13.43546188,0.007552677,0,2.48014506,16.66786997,9,5,27.77959306,3.482246457,23.3,31.7,29.50297366,25.00252005,1929.055843,22.21159235,18.00736648,11.19740485,5.340539227,9,5,44.4514474,2.178602639,40.8,46.3,46.45831156,43.37689232,54.2211154,59.65074345,64.09775629,71.16482284,2.3.2 e),3060.826916,0.269250022,0.231685115,0.191452191,0.183060882,9,5,0.309250022,0.130878548,0.2,0.5,0.329890993,1.257105616,Jet A-1,1.89,1.91,15.6,20.1,0.672077719,0.555612749,0.198328813,0.069640758,257.8066447,0,,0,,99.1,101.7,253,303,0.0005,0.0149,"PW800 Development Engineering, Production","Longueuil & Mirabel, Quebec, Canada",23/06/2014,18/07/2019,Yes,"P&WC ER 7572 Rev. D, includes CO-0003044 and CO-0005972.","Engines tested: 5738B01, GA0008B01, GA0009B01, GA0011B01, GA0020B19.","Export classification: EIPA NSR, DPA No, US-I 9E991, OUS-I NSR.",,,,,,12.63511335,5.468451018,1.357129428,1.959883293,5.30E+14,2.84E+14,1.04E+13,1.74E+14,
01P22PW142,22,Pratt & Whitney Canada,PW815GA,TALON X,MTF,5.65375709,34.64684268,71.22045042,C/R,,,NME/DTEPS,Yes,,,0.085095773,0.047829894,0.025951106,0.063767329,9,5,0.202832095,0.193199189,0,0.5,0.202383629,1.032569538,14.49092022,0.00879155,0.000294351,2.234759813,15.90496515,9,5,26.09320824,3.189179811,22,29.6,27.70461626,23.47848835,1870.18479,23.63357324,18.74202486,11.24261005,5.459790748,9,5,46.0702231,2.22516473,42.3,47.8,48.16556914,44.06248151,55.07810188,60.5972697,65.31165487,72.58517896,2.3.2 e),3283.744854,0.272081686,0.231931409,0.191339939,0.1831445,9,5,0.312081686,0.127480805,0.2,0.5,0.337062536,1.297531466,Jet A-1,1.89,1.91,15.6,20.1,0.701139975,0.578855738,0.204380211,0.070945659,265.583315,0,,0,,99.1,101.7,253,303,0.0005,0.0149,"PW800 Development Engineering, Production","Longueuil & Mirabel, Quebec, Canada",23/06/2014,18/07/2019,Yes,"P&WC ER 7572 Rev. D, includes CO-0003044 and CO-0005972.","Engines tested: 5738B01, GA0008B01, GA0009B01, GA0011B01, GA0020B19.","Export classification: EIPA NSR, DPA No, US-I 9E991, OUS-I NSR.",,,,,,14.53906347,6.747326526,1.387587057,2.004880493,5.63E+14,3.40E+14,9.71E+12,1.64E+14,
15PW104,15,Pratt & Whitney,PW1127G1-JM,TALON X,TF,12.2,32.11,120.44,C,,,DTEPS,Yes,Out of production,,0.03,0.03,0.04,0.11,3,1,0.2,,,,0.3,1.53,21,0.22,0.32,5.49,21.47,3,1,27.8,,,,34.1,28.9,3348,17.76,14.18,8.85,6.55,3,1,26.9,,,,31.2,29.94,37.42,43.81,49.38,57.42,2.3.2 e),3244,1.4,0.3,0.36,0.56,3,1,1.4,,,,1.8,8,Jet A,1.86,1.86,15.1,16.6,0.800416,0.661263,0.232194,0.089743,316.6,0,,0,,99.56,101.71,265.6,278.15,0.00071,0.00203,Pratt & Whitney,"X8 Test Stand, East Hartford, CT",11/03/2014,14/03/2014,Yes,Data from Certification Report PWA-9968,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,,,,
